Created_at,Number_of_results
2019-05-30 11:47:02.239,23394
2019-05-29 03:20:02.442,23265
2019-05-27 13:50:37.039,22874
2019-05-25 13:49:05.056,22878
2019-05-23 21:58:05.946,22839
2019-05-21 20:08:48.793,22344
2019-05-20 08:05:56.376,22344
2019-05-18 08:04:24.077,22156
2019-05-16 08:02:51.970,22018
2019-05-13 21:08:54.237,21700
2019-05-11 21:07:22.083,21487
2019-05-09 21:05:50.388,21224
2019-05-08 09:01:47.535,20810
2019-05-07 08:12:11.330,20787
2019-05-05 08:10:39.510,20485
2019-05-03 08:09:07.545,20235
2019-05-01 09:51:08.782,19830
2019-04-29 00:31:08.432,19337
2019-04-27 00:29:35.982,18994
2019-04-24 21:12:10.085,18358
2019-04-22 21:10:37.779,18003
2019-04-18 08:55:13.974,17232
2019-04-16 08:53:41.884,17093
2019-04-14 08:52:09.691,16921
2019-04-12 08:50:37.822,16787
2019-04-10 08:01:07.691,16536
2019-04-08 07:59:35.406,16413
2019-04-06 07:58:03.603,16277
2019-04-04 07:26:52.782,16116
2019-04-01 19:48:53.488,15958
2019-03-30 09:55:53.161,15811
2019-03-28 09:54:17.894,15603
2019-03-26 01:45:54.591,15352
2019-03-23 14:36:45.840,15170
2019-03-21 08:31:26.152,15021
2019-03-19 08:29:51.377,14810
2019-03-16 07:07:12.671,14630
2019-03-14 03:47:40.704,14350
2019-03-12 08:16:44.589,14103
2019-03-10 18:09:53.377,14074
2019-03-09 03:58:39.377,13840
2019-03-07 03:57:05.365,13756
2019-03-05 06:00:19.713,13513
2019-03-03 07:16:01.712,13113
2019-02-28 22:03:50.663,13040
2019-02-25 06:39:16.685,12660
2019-02-23 06:37:42.781,12457
2019-02-21 06:36:08.963,12271
2019-02-19 06:34:35.074,12144
2019-02-17 06:33:01.049,12081
2019-02-15 06:31:27.040,11893
2019-02-13 06:29:53.055,11704
2019-02-11 02:11:36.483,11554
2019-02-09 02:10:02.921,11467
2019-02-07 02:08:29.259,11405
2019-02-04 20:53:19.061,11298
2019-02-02 20:51:45.359,11270
2019-01-31 20:50:11.872,11241
2019-01-29 22:32:49.349,11164
2019-01-27 22:31:15.889,11105
2019-01-25 22:29:42.382,11005
2019-01-23 22:28:08.960,10910
2019-01-21 22:26:35.464,10853
2019-01-19 22:25:02.058,10772
2019-01-17 22:23:28.678,10653
2019-01-15 21:43:41.739,10497
2019-01-13 21:42:08.277,10400
2019-01-11 21:40:35.002,10253
2019-01-10 09:30:19.817,10033
2019-01-07 00:04:20.611,9965
2019-01-05 00:02:47.423,9898
2019-01-03 11:10:34.664,9801
2019-01-01 11:54:49.582,9734
2018-12-30 11:53:16.359,9668
2018-12-28 06:09:47.168,9603
2018-12-26 00:12:29.239,9518
2018-12-24 00:10:55.954,9430
2018-12-22 00:09:22.706,9364
2018-12-19 23:58:41.595,9250
2018-12-18 08:08:55.875,9184
2018-12-16 01:52:07.330,9050
2018-12-14 00:27:47.594,8865
2018-12-12 14:17:52.002,8820
2018-12-10 11:30:28.867,8762
2018-12-08 11:27:01.474,8697
2018-12-06 02:11:40.489,8625
2018-12-03 23:47:31.799,8559
2018-12-01 09:21:53.653,8469
2018-11-27 21:13:52.274,8162
2018-11-24 18:40:49.943,8147
2018-11-21 23:05:15.048,8104
2018-11-19 23:02:47.817,8057
2018-11-17 22:59:57.877,8020
2018-11-15 12:37:03.075,7959
2018-11-13 12:34:27.393,7912
2018-11-10 17:44:45.462,7833
2018-11-08 17:42:18.275,7749
2018-11-06 13:09:57.815,7635
2018-11-04 13:07:38.531,7534
2018-11-02 13:05:09.085,7458
2018-10-31 13:02:29.517,7376
2018-10-29 07:51:16.367,7326
2018-10-27 07:48:58.284,7248
2018-10-25 07:46:41.421,7193
2018-10-22 05:15:11.033,7016
2018-10-20 05:13:04.250,6938
2018-10-18 03:12:16.418,6828
2018-10-16 03:09:50.237,6769
2018-10-14 03:07:36.126,6725
2018-10-10 23:48:41.315,6663
2018-10-08 21:05:16.546,6613
2018-10-06 21:03:04.661,6581
2018-10-04 16:19:24.531,6525
2018-10-02 06:29:45.880,6451
2018-07-29 12:41:45.761,5264
2018-07-27 12:39:51.527,5243
2018-07-25 12:38:06.320,5212
2018-07-23 21:18:30.626,5182
2018-07-21 21:18:22.672,5150
2018-07-19 16:07:07.961,5039
2018-07-18 15:23:19.898,5039
