Created_at,Holders
2019-05-31 23:31:21.541,145401
2019-05-31 04:55:58.288,144996
2019-05-30 06:01:42.968,144382
2019-05-29 09:20:10.286,143862
2019-05-28 13:48:17.434,143336
2019-05-27 19:48:17.659,142974
2019-05-27 01:48:25.538,142460
2019-05-26 07:48:17.747,141968
2019-05-25 13:48:25.847,141578
2019-05-24 19:48:27.349,141189
2019-05-23 17:48:50.488,140462
2019-05-22 22:44:27.090,140040
2019-05-22 02:12:14.710,139392
2019-05-21 06:06:43.032,138671
2019-05-20 11:02:05.609,138225
2019-05-19 17:02:04.904,137629
2019-05-18 23:02:05.188,137048
2019-05-18 05:02:04.946,136947
2019-05-17 11:02:04.907,136532
2019-05-16 17:02:08.504,136055
2019-05-15 23:02:04.787,135167
2019-05-15 03:04:40.025,134295
2019-05-14 09:04:50.636,133877
2019-05-13 15:04:49.236,133479
2019-05-12 21:04:50.552,133265
2019-05-12 03:04:48.445,132903
2019-05-11 09:04:46.373,132473
2019-05-10 15:04:45.712,131938
2019-05-09 21:04:48.660,131166
2019-05-09 03:04:48.121,129768
2019-05-08 07:57:46.876,129409
2019-05-07 05:08:43.414,129024
2019-05-06 11:08:43.653,128798
2019-05-05 17:08:43.515,120056
2019-05-04 23:08:47.193,119815
2019-05-04 05:08:43.734,119475
2019-05-03 11:08:43.935,119001
2019-05-02 15:50:45.014,117992
2019-05-01 21:50:51.526,117374
2019-05-01 03:50:44.837,116821
2019-04-30 09:29:13.089,116152
2019-04-29 15:29:13.222,115931
2019-04-28 21:29:13.135,115511
2019-04-28 03:29:12.926,114878
2019-04-27 09:29:12.898,114149
2019-04-26 15:29:13.250,113440
2019-04-25 21:10:14.674,112737
2019-04-25 03:10:22.554,112199
2019-04-24 09:10:21.670,111526
2019-04-23 15:10:19.713,110761
2019-04-22 21:10:19.929,110187
2019-04-21 14:18:02.617,109298
2019-04-20 11:49:57.301,108349
2019-04-19 14:49:56.256,107920
2019-04-18 17:49:28.461,107530
2019-04-17 23:49:28.688,107186
2019-04-17 05:49:28.690,106906
2019-04-16 11:49:28.442,106734
2019-04-15 17:49:28.530,106484
2019-04-14 23:49:28.529,106238
2019-04-14 05:49:28.477,105997
2019-04-13 11:49:28.389,105781
2019-04-12 17:49:28.461,105540
2019-04-11 23:49:28.634,105300
2019-04-11 05:49:28.508,104991
2019-04-10 10:57:17.363,104494
2019-04-09 16:57:17.282,103990
2019-04-08 22:57:17.414,103268
2019-04-08 04:57:17.338,103035
2019-04-07 10:57:17.177,102822
2019-04-06 16:57:17.372,102571
2019-04-05 22:57:17.333,102324
2019-04-05 04:50:52.533,101984
2019-04-04 07:26:37.900,101687
2019-04-03 09:27:49.026,101133
2019-04-02 19:48:29.991,98949
2019-03-30 09:52:42.985,98949
2019-03-27 09:52:42.948,97499
2019-03-23 14:35:11.347,96280
2019-03-20 08:29:27.814,96112
2019-03-17 05:32:23.749,95612
