,youtube
0,117251
1,116731
2,113960
3,114056
4,114000
5,110507
6,110556
7,108530
8,107396
9,105001
10,102569
11,98749
12,93587
13,90845
14,88114
15,83448
16,80572
17,77152
18,73397
19,70380
20,66608
21,63593
22,62731
23,61491
24,60495
25,58802
26,57827
27,57208
28,56171
29,55223
30,52872
31,50976
32,48422
33,47133
34,45101
35,44706
36,42941
37,41335
38,40387
39,39898
40,38986
41,37873
42,37773
43,36005
44,35005
45,33490
46,33206
47,32426
48,31598
49,30987
50,29793
51,30065
52,29832
53,29576
54,29340
55,29175
56,29039
57,28847
58,28649
59,28425
60,28184
61,27852
62,27580
63,27070
64,26355
65,25810
66,25324
67,24857
68,24452
69,24245
70,24040
71,23886
72,23829
73,23715
74,23536
75,23361
76,23175
77,22988
78,22750
79,22493
80,21546
81,20144
82,20138
83,19967
84,19840
85,19676
86,19541
87,19360
88,18916
89,18832
90,18757
91,18671
92,18578
93,18472
94,18363
95,18103
96,17887
97,17714
98,17529
99,17398
100,17253
101,17133
102,17046
103,16916
104,16619
105,16400
106,16271
107,16105
108,15921
109,15541
110,15305
111,15247
112,15203
113,13357
114,13306
115,13237
116,13162
117,13128
118,13067
119,12916
120,1291698749
121,93587
122,90845
123,88114
124,83448
125,80572
126,77152
127,73397
128,70380
129,66608
130,63593
131,62731
132,61491
133,60495
134,58802
135,57827
136,57208
137,56171
138,55223
139,52872
140,50976
141,48422
142,47133
143,45101
144,44706
145,42941
146,41335
147,40387
148,39898
149,38986
150,37873
151,37773
152,36005
153,35005
154,33490
155,33206
156,32426
157,31598
158,30987
159,29793
160,30065
161,29832
162,29576
163,29340
164,29175
165,29039
166,28847
167,28649
168,28425
169,28184
170,27852
171,27580
172,27070
173,26355
174,25810
175,25324
176,24857
177,24452
178,24245
179,24040
180,23886
181,23829
182,23715
183,23536
184,23361
185,23175
186,22988
187,22750
188,22493
189,21546
190,20144
191,20138
192,19967
193,19840
194,19676
195,19541
196,19360
197,18916
198,18832
199,18757
200,18671
201,18578
202,18472
203,18363
204,18103
205,17887
206,17714
207,17529
208,17398
209,17253
210,17133
211,17046
212,16916
213,16619
214,16400
215,16271
216,16105
217,15921
218,15541
219,15305
220,15247
221,15203
222,13357
223,13306
224,13237
225,13162
226,13128
227,13067
228,12916
229,12916
